General Features;Version;Last Release Date;Author;URL;Free and Open Source;License;Programming Language;Data Storage;License Cost/ Fee;Development status;Intended Audience;Hosting Features;Storage Quota;Bandwidth Quota;Other Limits;Topic Restrictions;Corporate Branding;Own Domain;Ads allowed;System Requirements;Operating System;Root Access;Webserver;Other Requirements;Datastorage;Text Files;MySQL;PostgreSQL;Oracle;SQLite;BerkeleyDB;RCS;Other;Security/Anti-Spam;Page Permissions;ACL;Authentication Backends;Host Blocking;Mail Encryption;nofollow;Blacklist;CAPTCHA;Delayed Indexing;Development/Support;Commercial Support;Preconfigured Hosting;Code Repository;Issue Tracker;Mailing List;Support Forum;IRC Channel;Common Features;Preview;Minor Changes;Change Summary;Page History;Page Revisions;Revision Diffs;Page Index;Plugin System;Special Features;Unicode Support;Right-to-Left Support;Interface Languages;;Email notification;Comments;Categories;Namespaces;Page Redirection;Conflict Handling;Search;Wiki Farming;Structured Data;Links;CamelCase;Freelinks;Backlinks;InterWiki;SisterWiki;Image Links;Windows Shares;Page Redirects;Syntax Features;HTML Tags;Math formulas;Tables;CREOLE support;Markdown Support;Textile Support;BBCode Support;Emoticon Images;Syntax Highlighting;Footnotes;Quoting;Internal Comments;Custom styles;FAQ Tags;Scripting;Content Includes;Feed Aggregation;Usability;Section Editing;Page Templates;Double-Click Edit;Toolbar;WYSIWYG Editing;Access Keys;Auto Signature;Statistics;Recent Changes;Wanted Pages;Orphaned Pages;Most/Least Popular;Recent Visitors;Analysis;Output;HTML;CSS Stylesheets;Printer Friendly;Mobile Friendly;Themes & Skins;RSS Feeds;ATOM Feeds;Abbreviations;Auto-TOC;Raw Export;HTML Export;XML export;PDF Export;Media and Files;File Attachments;Media Revisions;Embedded Flash;Embedded Video;Image Editing;SVG Editing;MindMap Editing;Media Search;Extras;Calendar;Image Galleries;Forums;Blogs;Ticket System;Syntax Examples;Internal Link;;;;;;External Link;;;;;;;;Headlines;;;;;;;;;;;;;Bold Format;;;;;;Italics Format;;;;;;Underline Format;;;;;;Monospace Format;;;;;;;Strikethrough Format;;;Superscript Format;;;Subscript Format;;;;Images;;;;;;;;;;;;;;;;;;Aligning Text;;;;;;;Text Indentation;;;;Bulleted Lists;;;;;;;;;;Numbered Lists;;;;;;;;;;Definition Lists;;;;;;;Horizontal Rule;;;Try it;;;;;;
JAMWiki ;37316;05-May-2013;Ryan Holliday;jamwiki.org;Yes;GNU Lesser General Public License (LGPL);Java;Files, DB;Free;Mature;Anyone;JAMWiki ;does not apply;does not apply;does not apply;does not apply;does not apply;does not apply;does not apply;JAMWiki ;Any OS supporting Java 5 or greater;;Any application server supporting Java servlet 2.4 or greater;;JAMWiki ;No;Yes;Yes;Yes;;;;Any JDBC 3.0 (or greater) compliant database should be supported in ANSI SQL mode. Support for sites without an external database is provided using an embedded version of the HSQL database.;JAMWiki ;Yes;Yes;Spring Security;Yes;No;Yes;Optional;Optional;No;JAMWiki ;No;No;svn.sourceforge.net;jira.jamwiki.org;lists.sourceforge.net;jamwiki.org;;JAMWiki ;Yes;Yes;Yes;Yes;Unlimited;Between all;Yes;No;JAMWiki ;Yes;No;23 languages;Czech, Danish, German, English, Spanish, French, Galician, Croatian, Hungarian, Italian, Japanese, Dutch, Norwegian, Polish, Portuguese, Brazilian Portuguese, Russian, Sinhalese, Slovak, Swedish, Ukrainian, Chinese, Chinese Traditional;No;Discussion Pages;Yes;Yes;Yes;Conflict Detection;Full Text;;;JAMWiki ;No;Yes;No;Yes;No;Yes;No;Yes;JAMWiki ;Optional;No;simple + complex;;;;;No;Plugin;Yes;;Yes;Plugin;No;Mediawiki templates are supported.;Yes;No;JAMWiki ;Yes;;No;Optional;No;No;Yes;JAMWiki ;Yes;No;Yes;No;No;No;JAMWiki ;XHTML 1.0 Transitional;;Print View;;No;Optional;No;No;Optional;No;No;Yes;No;JAMWiki ;Yes;Yes;No;No;No;No;No;Filenames only;JAMWiki ;No;Yes;No;No;No;JAMWiki ;[[Link to topic]];[[Link to topic|With a caption]];[[:interwiki:Interwiki link]];;;;;;;;;;[http://www.jamwiki.org/];[http://www.jamwiki.org/ alternate caption];http://www.jamwiki.org;;;;;;==h2==;===h3===;====h4====;;;;;;;;;;'''bold''';;;;;''italic'';;;;;<u>underline</u>;;;;<tt>monospace</tt>;;;;;;;;<strike>strike</strike>;;;;<sup>superscript</sup>;;<sub>subscript</sub>;;[[Image:image.gif]];[[Image:image.gif|200px|thumb|caption]];;;;;;"<div align=""right"">text</div>";;;;;;;;;;;:indent one level;:::indent three levels;;;;;;;;;;;;;* 1;** 1.1;* 2;;;;;;;# 1;## 1.1;# 2;;;;;;;;;";term";:definition;;;;;----;;;;;;;
JaWiki ;V1.3.0;;Thomas Schmiereck;www.schmiereck.de;Yes;GNU General Public License (GPL);Java;Files;free;Discontinued;private users, developers;JaWiki ;does not apply;does not apply;does not apply;does not apply;does not apply;does not apply;does not apply;JaWiki ;Tomcat on Windows / Unix;No;Tomcat or buildin;;JaWiki ;Yes;No;No;No;No;No;Yes;the files are XML-based;JaWiki ;Yes;Yes;;No;No;No;No;No;No;JaWiki ;No;No;cvs.sourceforge.net:/cvsroot/jawiki;sourceforge.net;sourceforge.net;sourceforge.net;;JaWiki ;No;No;Yes;Yes;Unlimited;No;No;;JaWiki ;Yes;No;Not localized;;No;No;No;No;No;None;Full Text;;;JaWiki ;No;Yes;No;No;No;Yes;No;;JaWiki ;All;No;none;;;;;No;No;No;No;No;Yes;No;;No;Yes;JaWiki ;No;;No;No;No;No;No;JaWiki ;Yes;No;;;;;JaWiki ;HTML 4;Yes;Print CSS;;Yes;No;;;;;;Yes;;JaWiki ;Yes;Yes;No;No;No;No;No;No;JaWiki ;;;;;;JaWiki ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
JOTWiki ;0.1.3;39602;Thibaut Colar(tcolar-wiki AT colar DOT net);www.jotwiki.net;Yes;GPL for non commercial uses;java;Files;Free for non commercial uses (ie: no resell);Beta;any;JOTWiki ;does not apply;does not apply;does not apply;does not apply;does not apply;does not apply;does not apply;JOTWiki ;any (java);No;Any j2ee engine: : jetty, tomcat etc...;java 1.4+;JOTWiki ;Yes;No;No;No;No;No;No;;JOTWiki ;Yes;Yes;builtin DB;No;Optional;Yes;;Yes;Optional;JOTWiki ;;No;jotwiki.svn.sourceforge.net;sourceforge.net;sourceforge.net;sourceforge.net;;JOTWiki ;No;No;No;;Restricted by Age;No;;No;JOTWiki ;Yes;;;;Yes;Flat;No;Yes;No;Page Locking;Full Text;;;JOTWiki ;No;Yes;No;No;Yes;Yes;Yes;;JOTWiki ;All;No;simple;No;No;No;No;Yes;No;No;No;Yes;Yes;Yes;regular html, javascript;Optional;No;JOTWiki ;No;;No;Yes;No;No;Yes;JOTWiki ;No;No;No;No;No;Optional;JOTWiki ;HTML 4;Yes;Print View;;Yes;No;No;No;Yes;Yes;No;No;No;JOTWiki ;Yes;No;Yes;Yes;No;No;No;Filenames only;JOTWiki ;;;;;;JOTWiki ;[[My Other Page]];[[My Other Page#section_3]];[[page_23 | My Other Page]];[[other_namespace:pagex]];;;;;;;;;[[http://www.google.com]];[[http://www.google.com | Google]];[[file://c:\tmp\];[[mailto:john@doe.com]];;;;;======Largest======;===== 2 =====;====Medium====;=== 4 ===;==smallest==;;;;;;;;** bold text **;;;;;// italic format //;;;;;__ underlined format __;;;;''' monospace (code) ''';;;;;;;;<del> striked through </del>;;;;;;<sub> sub text </sub>;;{{image.jpg}};{{ image.jpg }} (centered);{{image.jpg }} (aligned right);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;* item;- item;;;;;;;;;;;;;;;;;;;;;;;;;----;;;;;;;
JSPWiki ;36801;41671;Apache Software Foundation;jspwiki.apache.org;Yes;Apache License 2.0;Java;Files, DB;0;Mature;all;JSPWiki ;does not apply;does not apply;does not apply;does not apply;does not apply;does not apply;does not apply;JSPWiki ;any platform supporting JDK 1.5+;No;any servlet 2.4+ compliant web server, e.g. Tomcat 5+, Jetty, Glassfish, Websphere;optional JavaMail for mailing functionality;JSPWiki ;Yes;Plugin;Plugin;Plugin;Plugin;Plugin;No;page provider architecture -> several implementations;JSPWiki ;Yes;Yes;JAAS -> interface to many external backends possible;Optional;Plugin;Optional;Yes;Yes;No;JSPWiki ;Yes, 2 listed;No;svn.apache.org;issues.apache.org;jspwiki.apache.org;please use mailing lists or issue tracker;Freenode: #jspwiki;JSPWiki ;Yes;No;Yes;Yes;Unlimited;Between all;Yes;Yes;JSPWiki ;Yes;Yes;10 languages;Breton, German, English, Spanish, Finnish, French, Italian, Dutch, Russian, Chinese;Plugin;Flat;Yes;No;Yes;Page Locking;Full Text;Patch;Yes;JSPWiki ;Yes;Yes;Yes;Yes;No;Yes;Optional;Yes;JSPWiki ;Optional;Plugin;simple + complex;Yes;No;No;No;Plugin;Plugin;Yes;No;Plugin;Yes;No;plugins for JavaScript, TCL and Groovy;Yes;Plugin;JSPWiki ;Yes;Yes;No;Yes;Plugin;Yes;Plugin;JSPWiki ;Yes;Yes;Yes;No;No;No;JSPWiki ;XHTML 1.0 Transitional;Yes;Print CSS;No;Yes;Yes;Yes;No;Plugin;Yes;Optional;No;Plugin;JSPWiki ;Yes;Yes;Plugin;Plugin;No;No;No;Contents;JSPWiki ;Plugin;Plugin;Yes;Yes;No;JSPWiki ;[link];[text|link];[text|wiki:link];;;;;;;;;;[http://www.example.com/];[example|http://www.example.com/];[text|wiki:link];;;;;;! Level 1;!! Level 2;!!! Level 3;;;;;;;;;;__bold__;;;;;''italics'';;;;;%%(text-decoration: underline) text %%;;;;{{monospace}};;;;;;;;%%(text-decoration: line-through) deleted text %%;;;;%%(vertical-align: sup) text %%;;%%(vertical-align: sub) text %%;;[local.jpg];[{Image src='local.jpg'}];[{Image src='http://foo.bar/foo.jpg'}];;;;;%%(text-align: right) text %%;;;;;;;;;;;%%(text-indent: 20px) 20 pixels %%;%%(text-indent: 30%) 30 percent %%;;;;;;;;;;;;;* Item 1;** Item 1.1;* Item 2;;;;;;;# Item 1;## Item 1.1;# Item 2;;;;;;;;;";term:definition";;;;;;----;;;;;;;
KeheiWiki ;Pleiades-M45;March 22, 2005;team;kehei-wiki.sourceforge.net;Yes;LGPL;Perl;Files, RCS;0;Mature;corporate and special interest groups;KeheiWiki ;does not apply;does not apply;does not apply;does not apply;does not apply;does not apply;does not apply;KeheiWiki ;Unix/Linux;No;Apache 1.3 or better CGI (any level);perl 4 or newer;KeheiWiki ;Yes;Plugin;Plugin;Plugin;Plugin;Plugin;Plugin;archiving plugin, designed for unionFS;KeheiWiki ;Yes;Yes;Apache;Yes;No;No;Plugin;Plugin;Plugin;KeheiWiki ;Yes, 1 listed;;sourceforge.net;sourceforge.net;;sourceforge.net;;KeheiWiki ;Optional;No;Yes;Yes;Unlimited;Between all;Optional;Yes;KeheiWiki ;Yes;;Not localized;;Yes;Threaded;Yes;Yes;Yes;Page Locking;Full Text;Yes;Yes;KeheiWiki ;Yes;Yes;No;Yes;No;Yes;No;Yes;KeheiWiki ;All;No;complex;;;Optional;Optional;No;Plugin;No;Yes;Yes;Yes;Yes;Yes - custom tags, javascript, variables;Yes;Yes;KeheiWiki ;Yes;Yes;Optional;Yes;Yes;No;Yes;KeheiWiki ;Yes;Plugin;Plugin;No;No;Plugin;KeheiWiki ;HTML 3;Yes;Print View;Yes;Plugin;Plugin;No;Yes;Yes;Yes;Yes;No;No;KeheiWiki ;Plugin;Plugin;Yes;Yes;No;No;No;Keywords;KeheiWiki ;No;No;Yes;Yes;No;KeheiWiki ;%topic%  ( '%' configurable );or;<link topic>text</link>;or;use HTML in rich text editor;;;;;;;;http://gmail.com/;or;<extern http://gmail.com>a mail server</extern>;or;use HTML in rich text editor;;;;text  ----    ;or;insert HTML via WYSIWYG editor;;;;;;;;;;_ text _ ;or;insert HTML via WYSIWYG editor;;;* text *;or;insert HTML via WYSIWYG editor;;;insert HTML via WYSIWYG editor;;;;<wiki code>;stuff;</wiki code>;;;;;;insert HTML via WYSIWYG editor;;;;insert HTML via WYSIWYG editor;;insert HTML via WYSIWYG editor;;insert HTML via WYSIWYG editor;;;;;;;<p align=right> stuff;or;insert HTML via WYSIWYG editor;;;;;;;;;<ul>;stuff;</ul>;or;insert HTML via WYSIWYG editor;;;;;;;;;;* text;or;<!> text;or;insert HTML via WYSIWYG editor;;;;;digits. stuff;or;insert HTML via WYSIWYG editor;;;;;;;;;term:    definition;or;insert HTML via WYSIWYG editor;;;;can use plain < HR > tag or;via WYSIWYG editor;;;;;;
KeiSpade ;0.4.3;41027;KeiSpade Development Team;keispade.keiyac.org;Yes;BSD Revised;Perl;Database;0;Mature;Private, Small Office;KeiSpade ;does not apply;does not apply;does not apply;does not apply;does not apply;does not apply;does not apply;KeiSpade ;Linux, BSD;;Apache, nginx;SQLite3, DBI::DBD, DBD::SQLite;KeiSpade ;No;Plugin;Plugin;No;Yes;No;No;;KeiSpade ;No;No;;Optional;No;No;No;No;No;KeiSpade ;No;;github.com;github.com;groups.google.com;;;KeiSpade ;Yes;No;No;No;None;No;Yes;Yes;KeiSpade ;Yes;;2 languages;English, Japanese;No;Flat;Yes;No;No;Conflict Resolution;Full Text;Yes;;KeiSpade ;No;Yes;;Yes;;Yes;;;KeiSpade ;None;;simple;;;;;;;Yes;Yes;;Yes;;;;;KeiSpade ;No;No;No;No;No;No;No;KeiSpade ;Yes;No;No;No;No;No;KeiSpade ;;Yes;;Plugin;Yes;Plugin;Yes;No;No;No;No;No;No;KeiSpade ;Yes;No;No;Yes;No;No;No;No;KeiSpade ;No;No;No;No;No;KeiSpade ;[[Example]];;;;;;;;;;;;[http://www.example.com/:title=Example];;;;;;;;*h1;**h2;***h3;;;;;;;;;;;;;;;;;;;;;;;;>||;Monospace Text;||<;;;;;;;;;;;;;;[http://www.example.com/a.jpg:image];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;+First;+Second;++second-1;++second-2;+Third;;;;;;;;;;;;;;;;;;;;
KWikiKWiki ;Kwiki-0.38;38446;Brian Ingerson;www.kwiki.org;Yes;www.perl.com Perl Artistic;perl;Files;0;;;KWikiKWiki ;does not apply;does not apply;does not apply;does not apply;does not apply;does not apply;does not apply;KWikiKWiki ;Unix,Linux;No;Apache;;KWikiKWiki ;Yes;No;No;No;No;No;;;KWikiKWiki ;;;;;;;;;;KWikiKWiki ;No;;;;www.kwiki.org;;www.kwiki.org;KWikiKWiki ;;;;;;;;;KWikiKWiki ;;;;;;;;;;;;;;KWikiKWiki ;;;;;;;;;KWikiKWiki ;Some;;simple;;;;;;;;;;;;;;;KWikiKWiki ;;;;;;;;KWikiKWiki ;;;;;;;KWikiKWiki ;;Yes;;;Yes;;;;;;;;;KWikiKWiki ;;;;;;;;;KWikiKWiki ;;;;;;KWikiKWiki ;[WikiLink];!WikiLink;;;;;;;;;;;[LinkText http://www.foo.com];!http://www.foo.com;mail@foo.com;;;;;;= Level 1 Heading (H1);== Level 2 Heading (H2);=== Level 3 Heading (H3);==== Level 4 Heading (H4);===== Level 5 Heading (H5);====== Level 6 Heading (H6);;;;;;;*Bold text*;;;;;/italic text/;;;;;_underscore text_;;;;;;;;;;;;-Strikethrough-;;;;;;;;http://www.foo.com/logo.gif;[http://www.foo.com/logo.gif] -textual link to image;;;;;;HTML or CSS;;;;;;;;;;;;;;;;;;;;;;;;;* foo;* bar;** boom;** bam;*** bop;**** boofraw;* baz;;;0 foo;0 bar;00 boom;00 bam;0 baz;;;;;;;;;;;;;;;;;;;;
LionWiki ;38020;40441;Adam Živné?;lionwiki.0o.cz;Yes;GPL v2;PHP;Files;free;Mature;advanced users, minimalists;LionWiki ;does not apply;does not apply;does not apply;does not apply;does not apply;does not apply;does not apply;LionWiki ;All PHP supported;No;Apache/IIS, probably everything which supports PHP;;LionWiki ;Yes;No;No;No;No;No;No;;LionWiki ;Yes;No;;Plugin;No;No;Plugin;Plugin;No;LionWiki ;No;No;code.google.com;lionwiki.0o.cz;;lionwiki.0o.cz;;LionWiki ;Yes;No;Yes;Yes;Unlimited;Between all;Plugin;Yes;LionWiki ;Yes;No;17 languages;Arabic, Czech, German, English, Esperanto, Spanish, Finnish, French, Hebrew, Croatian, Hungarian, Italian, Dutch, Brazilian Portuguese, Russian, Slovak, Chinese Traditional;No;Plugin;No;No;Yes;Conflict Detection;Full Text;No;No;LionWiki ;No;Yes;Plugin;No;No;Yes;No;Yes;LionWiki ;Optional;No;complex;No;No;No;No;No;Plugin;Plugin;Yes;Yes;Yes;No;JavaScript (plugin);Yes;Yes;LionWiki ;Yes;No;Plugin;Plugin;No;No;No;LionWiki ;Yes;No;No;No;No;No;LionWiki ;XHTML 1.0 Transitional;Yes;Print View;No;Yes;Yes;No;No;Yes;No;No;No;No;LionWiki ;Plugin;No;Yes;Yes;No;No;No;No;LionWiki ;No;Plugin;No;No;No;LionWiki ;[Main page];[Our main page|Main page];;;;;;;;;;;http://lionwiki.0o.cz;[Homepage|http://lionwiki.0o.cz];;;;;;;!H2 headline;!!H3 headline;;;;;;;;;;;'''bold'';;;;;''italics'';;;;;'__underline__';;;;;;;;;;;;'--strikethrough--';;;;;;;;[path_to_img.jpg];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;* Fruit;** Apple;*** Granny smith;*** Golden delicious;** Orange;* Vegetables;** Garlic;** Onion;;# First item ;## First subitem ;### First subsubitem;## Second subitem ;# Second item;;;;;;;;;;;;;----;;;;;;;
Luminotes ;42887;40020;Dan Helfman;luminotes.com;Yes;GNU GPL 3;Python and JavaScript;Database;Free;Discontinued;Everyone (focus on authors, teachers, students, and internet professionals);Luminotes ;None;None;None;None;No;Yes;No;Luminotes ;Online version: Any Operating System, Download version: Windows/Linux;No;None required;;Luminotes ;No;No;Yes;No;Yes;No;No;;Luminotes ;Yes;Yes;None;No;No;No;No;No;No;Luminotes ;Yes, 1 listed;Yes;luminotes.com;;;;;Luminotes ;Yes;No;No;Yes;Unlimited;Between all;Yes;No;Luminotes ;Yes;No;Not localized;;No;No;No;Yes;No;Conflict Detection;Full Text;;;Luminotes ;No;Yes;No;No;No;Yes;;;Luminotes ;Some;No;none;No;No;No;No;No;No;No;No;No;No;No;None;No;No;Luminotes ;Yes;;No;Yes;Yes;Yes;No;Luminotes ;Yes;No;No;No;No;No;Luminotes ;;Yes;Print View;;No;Yes;No;No;Yes;No;Yes;No;No;Luminotes ;Yes;No;No;No;No;No;Yes;No;Luminotes ;No;Yes;No;No;No;Luminotes ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LynxWiki ;1.3.0.0;41488;J.W. Davidson;lynxwiki.codeplex.com;Yes;Apache License 2.0;C#;Files, DB;$0;Mature;small organization to enterprise;LynxWiki ;does not apply;does not apply;does not apply;does not apply;does not apply;does not apply;does not apply;LynxWiki ;Windows;Yes;IIS7 or IIS8;IronPython;LynxWiki ;Yes;No;No;No;Yes;No;No;MS SQL, MS SQL Express;LynxWiki ;Yes;Yes;MS Membership and Roles;Yes;No;No;Yes;Yes;No;LynxWiki ;No;No;tfs.codeplex.com;lynxwiki.codeplex.com;None Yet;lynxwiki.codeplex.com;N/A;LynxWiki ;Yes;Yes;Yes;Yes;Unlimited;Between all;Yes;No;LynxWiki ;Yes;No;Not localized;;No;Discussion Pages;Yes;Yes;Yes;None;Full Text;No;Yes;LynxWiki ;Yes;Yes;Yes;No;No;Yes;Yes;Yes;LynxWiki ;None;Yes;simple + complex;No;No;Yes;No;Yes;Yes;Yes;No;Yes;No;Yes;IronPython;Yes;Yes;LynxWiki ;No;No;No;No;No;No;No;LynxWiki ;Yes;No;No;No;No;No;LynxWiki ;XHTML 1.1;Yes;Print CSS;Yes;No;Yes;Yes;No;Yes;No;Yes;No;No;LynxWiki ;Yes;Yes;No;Yes;No;No;No;Contents;LynxWiki ;No;No;Yes;Yes;No;LynxWiki ;CamelCase;"""display text"":DisplayText";;;;;;;;;;;http://www.wikimatrix.org;"""Wiki Matrix"":http://www.wikimatrix.org";"""this is a link (optional tooltip)"":http://www.microsoft.com";;;;;;!!Header 2;!!!Header 3;!!!!!!Header 6;;;;;;;;;;*bold*;'''bold''';;;;_italics_;;;;;+underlined+;;;;[indent single space];@mono space on single line@;@@ start on multiline with end @@;;;;;;-strikethrough-;;;;superscript^234^;;water: H~2~O;;[image:/LynxWiki/Attachments/upload/images/IMG_2002.jpg];http://www.example.org/someimage.jpg;;;;;; N/A;;;;;;;;;;; N/A;;;;;;;;;;;;;;* first bullet (8 spaces);* first sub item bullet;* second item;;;;;;;1. first numbered item;1. second item;;;;;;;;;; N/A;;;;;;----;;;;;;;
MediaWiki ;1.20.1;41243;Magnus Manske, Brion Vibber, Lee Daniel Crocker, Tim Starling, Erik Möller, and others.;www.mediawiki.org;Yes;GPL;PHP;Database;0;Mature;End Users/Desktop, Education;MediaWiki ;does not apply;does not apply;does not apply;does not apply;does not apply;does not apply;does not apply;MediaWiki ;*nix, Windows, Mac OS X;No;Any with PHP support;none;MediaWiki ;No;Yes;Yes;Yes;Yes;No;No;No;MediaWiki ;Yes;No;Yes;Yes;Plugin;Optional;Yes;Plugin;No;MediaWiki ;Yes, 69 listed;Yes;svn.wikimedia.org;bugzilla.wikimedia.org;lists.wikimedia.org;mwusers.com;www.mediawiki.org;MediaWiki ;Yes;Yes;Yes;Yes;Unlimited;Between all;Yes;Yes;MediaWiki ;Yes;Yes;140 languages;"Afar, Abkhazian, Afrikaans, Amharic, Arabic, Assamese, Aymara, Azerbaijani, Bashkir, Byelorussian, Bulgarian, Bihari, Bislama, Bengali; Bangla, Tibetan, Breton, Catalan, Corsican, Czech, Welsh, Danish, German, Bhutani, Greek, English, Esperanto, Spanish, Estonian, Basque, Persian, Finnish, Fiji, Faroese, French, Frisian, Irish, Scots Gaelic, Galician, Guarani, Gujarati, Hausa, Hebrew, Hindi, Croatian, Hungarian, Armenian, Interlingua, Indonesian, Interlingue, Inupiak, Icelandic, Italian, Inuktitut, Japanese, Georgian, Kazakh, Greenlandic, Cambodian, Kannada, Korean, Kashmiri, Kurdish, Kirghiz, Latin, Lingala, Laothian, Lithuanian, Latvian, Lettish, Malagasy, Maori, Macedonian, Malayalam, Mongolian, Moldavian, Marathi, Malay, Maltese, Burmese, Nauru, Nepali, Dutch, Norwegian, Occitan, Oromo, Oriya, Punjabi, Polish, Pashto, Pushto, Portuguese, Brazilian Portuguese, Quechua, Rhaeto-Romance, Kirundi, Romanian, Russian, Kinyarwanda, Sanskrit, Sindhi, Sangho, Serbo-Croatian, Sinhalese, Slovak, Slovenian, Samoan, Shona, Somali, Albanian, Serbian, Siswati, Sesotho, Sundanese, Swedish, Swahili, Tamil, Telugu, Tajik, Thai, Tigrinya, Turkmen, Tagalog, Setswana, Tonga, Turkish, Tsonga, Tatar, Twi, Uighur, Ukrainian, Urdu, Uzbek, Vietnamese, Volapuk, Wolof, Xhosa, Yiddish, Yoruba, Zhuang, Chinese, Chinese Traditional, Zulu";Optional;Discussion Pages;Yes;Yes;Yes;Conflict Resolution;Full Text;Plugin;Plugin;MediaWiki ;No;Yes;Yes;Yes;No;Yes;No;Yes;MediaWiki ;Some;Yes;simple + complex;No;No;No;No;Optional;Plugin;Yes;No;Yes;Yes;No;Optional;Yes;Plugin;MediaWiki ;Yes;Yes;Optional;Yes;Plugin;Yes;Yes;MediaWiki ;Yes;Yes;Yes;Yes;Plugin;Optional;MediaWiki ;XHTML 1.0 Transitional;Yes;Print CSS;No;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes;Plugin;MediaWiki ;Yes;Yes;Plugin;Plugin;No;No;Plugin;Keywords;MediaWiki ;Plugin;Yes;Plugin;No;No;MediaWiki ;[[a link]];[[a link|with title]];;;;;;;;;;;[http://example.org The title];;;;;;;;==Section==;===Subsection===;====Sub-subsection====;;;;;;;;;;'''bold''';;;;;''italic'';;;;;<u>underlined</u>;;;;<tt>monospace</tt>;;;;;;;;<s>strikethrough</s>;;;;<sup>superscript</sup>;;<sub>subscript</sub>;;[[Image:wiki.png]];;;;;;;<center>Centered</center>;;;;;;;;;;;: indented line;;;;;;;;;;;;;;* Item 1;** Item 1.2;* Item 2;;;;;;;# Item 1;## Item 1.2;# Item 2;;;;;;;;;"; term : definition";;;;;;----;;;;;;;
Midgard Wiki ;36558;39013;Nemein;www.midgard-project.org;Yes;LGPL;PHP;Database;0;Mature;Small teams, corporations, Midgard CMS users;Midgard Wiki ;does not apply;does not apply;does not apply;does not apply;does not apply;does not apply;does not apply;Midgard Wiki ;Linux, Unix, Mac OS X;Yes;Apache;MySQL, Midgard CMS, PHP;Midgard Wiki ;No;Yes;No;No;No;No;Yes;;Midgard Wiki ;Yes;Yes;PAM, LDAP, NTLM, Midgard database;No;Yes;No;No;Optional;No;Midgard Wiki ;No;Yes;midcom.tigris.org;midcom.tigris.org;www.midgard-project.org;www.midgard-project.org;www.midgard-project.org;Midgard Wiki ;Yes;No;Yes;Yes;Unlimited;Between all;Yes;;Midgard Wiki ;Yes;Optional;4 languages;English, German, Finnish, Swedish;Patch;Plugin;Yes;No;Yes;Page Locking;Full Text;;;Midgard Wiki ;No;Yes;Yes;No;No;Yes;Yes;;Midgard Wiki ;Some;No;complex;No;Yes;No;No;No;No;No;Yes;Yes;Yes;No;PHP can be used in page templates;Optional;Plugin;Midgard Wiki ;No;;Yes;No;Optional;Yes;No;Midgard Wiki ;Yes;No;Yes;No;No;Plugin;Midgard Wiki ;XHTML 1.0 Strict;Yes;Print CSS;;Yes;Yes;No;No;Yes;No;Yes;Yes;No;Midgard Wiki ;Optional;No;Optional;Optional;No;No;No;Contents;Midgard Wiki ;;;;;;Midgard Wiki ;[Wikipage];[Wikipage|link label];;;;;;;;;;;[External link](http://www.example.net);;;;;;;;# Top Level Heading;## Smaller Heading;###### Smallest Heading;;;;;;;;;;**bold**;;;;;_italics_;;;;;<u>underline</u>;;;;`monospace`;;;;;;;;"<span style=""text-decoration: strikethrough;"">strikethrough</span>";;;;<sup>superscript</sup>;;<sub>subscript</sub>;;[photo: IMAGE IDENTIFIER IN GALLERY];![Image text](http://www.example.net/external-image.jpg);;;;;;"<div style=""text-align: center;"">centered text</div>";;;;;;;;;;;> Quoted text;;;;;;;;;;;;;;* one;* one-two;* two;* three;;;;;;1. one;1. one-two;2. two;3. three;;;;;;;;Term;:    Definition;;;;;<hr />;;;;;;;
